id,feature_ids,spec,layer,fixture,actor,commands,steps,expected,status,owner,evidence,environment,expected_events,coverage
QA-WS-01,WS-01,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,At 1440×900 the unchanged wordmark geometry uses #1754A6; all four nav links open their named page and active state moves once.,Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-02,WS-02,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,"Switch Bangkok to Hua Hin: no Bangkok delivery, pickup selection or unsaved draft appears in Hua Hin; a one-city tenant has no redundant city chooser.",Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-03,WS-03,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SetFeature; identity/tenant from fixture, with negative actor when specified",SetFeature,Set up named fixture; execute SetFeature under the condition in expected outcome; query affected records and compare committed events.,Disable Intercity: local Plan still opens and existing trip history remains reachable; new trip creation returns NOT_AUTHORIZED.,Written requirement; implementation test not executed,QA + P13,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-04,WS-04,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,"Switch Now to Plan for 2026-09-09: date and count equal the returned filtered list, not the prior day's total.",Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-05,WS-05,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,At 1440×900 map uses remaining board height and opening/closing timeline restores that height; no permanent debug/footer block is rendered.,Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-06,WS-06,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SaveBrand,SaveSite,SaveCity; identity/tenant from fixture, with negative actor when specified","SaveBrand,SaveSite,SaveCity","Set up named fixture; execute SaveBrand,SaveSite,SaveCity under the condition in expected outcome; query affected records and compare committed events.",Create brand B2 and site H2 in tenant A: both are selectable only in permitted city; tenant B cannot retrieve them.,Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-07,WS-07,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,Keyboard Tab reaches every visible control; Escape closes only the top dialog and returns focus to its opener; unsaved draft survives dismiss/cancel.,Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-WS-08,WS-08,product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GetDelivery; identity/tenant from fixture, with negative actor when specified",GetDelivery,Set up named fixture; execute GetDelivery under the condition in expected outcome; query affected records and compare committed events.,"Tenant B requests tenant A delivery/asset/chat IDs: API returns NOT_AUTHORIZED and no contact, URL or text payload.",Written requirement; implementation test not executed,QA + P01,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-01,IN-01,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SaveDeliveryDraft; identity/tenant from fixture, with negative actor when specified",SaveDeliveryDraft,Set up named fixture; execute SaveDeliveryDraft under the condition in expected outcome; query affected records and compare committed events.,Click Add Delivery: manual fields open immediately; invoking optional autofill leaves manually entered recipient text unchanged until explicit merge.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-02,IN-02,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named",Current deliveries.create actor plus wrong grant/tenant/city/actor and revoked principal,SaveDeliveryDraft,Save with zero creation roots; read authorized manual context/current revision; race exact-version edits; recover a lost committed save through original CommandStatus after browser-controller restart; reject unmapped source and immutable-history mutation.,"Separate buyer/recipient; exact Thai/text/quantity5/ready_by preserved in immutable manual revisions. One creation and edit winner; rejected writes have no partial revision/event/outbox. Old rows unchanged. No delivery/slot/custody/preparation/assignment effect.",Written requirement; local SQL/controller/browser evidence separate from source visual and configured-provider acceptance,QA + P02,W01-MANUAL-INTAKE-CHECKPOINT and generated/test-results.json,Isolated restricted PostgreSQL and HTTP; real browser controller; separate labelled synthetic React browser fixture,intake.draft_saved,Creation/update/read/replay/rollback/isolation/history and tab recovery assertions; final creation and source-pixel acceptance pending
