source,title,spec_owners,controls_indexed_in_prior_inventory,status
ui/driver/screens/ROUNDS-A01-SPLASH-LIGHT-v5.html,Rounds — Splash,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,1,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A01B-CHOOSE-LANGUAGE-v1-10OF10.html,Rounds — เลือกภาษา,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,3,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A02-A05-DRIVER-ENTRY-FLOW-v6-10OF10.html,Rounds — A02–A05 Driver Entry Flow v6,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,15,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A06-ABOUT-YOU-v3-10OF10.html,Rounds — About you · Team driver,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,17,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A06B-INDEPENDENT-ABOUT-YOU-v3-10OF10.html,Rounds — About you · Independent driver,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,6,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A07-YOUR-VEHICLE-v4-10OF10.html,Rounds — Your vehicle,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,11,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A08-VERIFY-IDENTITY-v3-10OF10.html,Rounds — Verify identity,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,14,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A09-LIVE-FACE-CHECK-v5-10OF10.html,Rounds — Live face check,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,10,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A10-GET-PAID-v4-10OF10.html,Rounds — Get paid,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,29,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A11-VERIFICATION-SUBMITTED-v4-10OF10.html,Rounds — Verification submitted,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,6,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-A12-VERIFICATION-NEEDS-ATTENTION-v1-10OF10.html,Rounds — Verification needs attention,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,18,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B00-START-SHIFT-v1-10OF10.html,Rounds — Start shift,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,18,Approved source preserved; interaction coverage not certified
