feature_id,scope,spec,commands,queries_or_surface,tables,acceptance_ids,definition_status,implementation_status,design_followup,review_notes,coverage,system_tables
WS-01,"Preserved wordmark shape with approved blue colour; business identity; Dispatch, Drivers, History and Settings navigation.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,UI,,QA-WS-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
WS-02,"City selection with independent local orders, fleet, pickups, date, drafts and filters; suppress needless one-city choice.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,UI,,QA-WS-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
WS-03,Optional City / Intercity board navigation; disabling Intercity preserves city operations and existing evidence.,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SetFeature,,tenants,QA-WS-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
WS-04,"Now / Plan operating modes, explicit service date and contextual counts.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,UI,,QA-WS-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
WS-05,"Dominant map, delivery rail, contextual detail, expandable timeline; no permanent prototype/footer field wasting board height.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,UI,,QA-WS-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
WS-06,"Business brands/offices/pickups, city membership, feature access and country configuration.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,SaveBrand; SaveSite; SaveCity,,brands; cities; sites,QA-WS-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
WS-07,"Keyboard access, visible focus, Escape/close, focus return, unsaved draft protection, reduced motion and readable touch controls.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,UI,,QA-WS-07;QA-V21-IPAD-ROTATION,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,
WS-08,"Tenant isolation for all deliveries, media, history, chats, configuration and address knowledge.",product/P01-PRODUCT-TENANCY-AND-AUTHORITY.md,,GetDelivery,,QA-WS-08;QA-SYSTEM-RLS-CROSS-TENANT,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
IN-01,Plus / Add Delivery immediately opens manual fields; optional paste/drop fills those same fields.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,SaveDeliveryDraft,,intake_drafts,QA-IN-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-02,"Recipient, contact, buyer where different, address, service date/window, pickup, items/quantities, handling, preparation and notes.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,SaveDeliveryDraft,,intake_drafts,QA-IN-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-03,"Paste chat/order text, clipboard image and drag/drop screenshots; keep original source attached to the draft/delivery.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,CreateIntakeBatch,,intake_batches,QA-IN-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-04,"Thai/English image text reading with processing progress, failure recovery and manual correction.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,ExtractDraft,,intake_drafts,QA-IN-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-05,"Optional authenticated AI extraction adapter; uncertain fields remain editable; preserve source, original and suggested address.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,ExtractDraft; ReviewAddress,,intake_drafts,QA-IN-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-06,Multiple deliveries from a source; review/select/remove drafts; validate phone/date/window/cargo; duplicate warning and explicit resolution.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,CommitIntakeBatch,,intake_batches,QA-IN-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-07,PDF and CSV import through the same intake/review contract.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,CreateIntakeBatch,,intake_batches,QA-IN-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-08,"Intake settings for city/pickup, windows, country/phone handling, preparation defaults and remembered addresses.",product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-IN-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-09,Commit reviewed orders into Ready/Unplanned or an explicit address/preparation hold without dispatching drivers.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,CommitDelivery,,intake_drafts,QA-IN-09;QA-SYSTEM-LAST-SLOT;QA-V21-RESULT-FINITE,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
